"","package","version","risk_date","risk_version","pkg_score","rank_score","news_current","has_vignettes","size_codebase","has_bug_reports_url","bugs_status","license","export_help","reverse_dependencies","downloads_1yr","dependencies","has_website","r_cmd_check","remote_checks","has_maintainer","exported_namespace","has_news","has_source_control","covr_coverage"
"10064","OpenRepGrid.ic","0.6.1",2023-06-21,"0.2.1",0.524805,10064,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.980769230769231,1,NA,0,1,NA
"10065","plotMCMC","2.0.1",2023-06-21,"0.2.1",0.524805,10065,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.980769230769231,1,NA,1,0,NA
"10066","epimdr","0.6-5",2023-06-21,"0.2.1",0.524805,10066,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.980769230769231,1,NA,0,1,NA
"10067","edl","1.1",2023-06-21,"0.2.1",0.524805,10067,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.980769230769231,1,NA,1,0,NA
"10068","smicd","1.1.2",2023-06-21,"0.2.1",0.524805,10068,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.980769230769231,1,NA,1,0,NA
"10069","prinvars","1.0.0",2023-06-21,"0.2.1",0.524805,10069,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.980769230769231,1,NA,0,1,NA
"10070","patchSynctex","0.1-4",2023-06-21,"0.2.1",0.524805,10070,0,0,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.980769230769231,1,NA,1,1,NA
"10071","toweranNA","0.1.0",2023-06-21,"0.2.1",0.524805,10071,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.980769230769231,1,NA,0,1,NA
"10072","OlympicRshiny","1.0.0",2023-06-21,"0.2.1",0.5249018,10072,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0758581800212434,1,NA,0.903846153846154,1,NA,0,1,NA
"10073","mco","1.15.6",2023-06-21,"0.2.1",0.5249869,10073,0,0,NA,0,NA,NA,NA,0.59434719329332,NA,0.880797077977882,1,NA,0.75,1,NA,0,1,NA
"10074","tosca","0.3-2",2023-06-21,"0.2.1",0.5250411,10074,0,1,NA,0,NA,NA,NA,0.398689815024215,NA,0.0758581800212434,1,NA,0.75,1,NA,0,1,NA
"10075","mvord","1.1.1",2023-06-21,"0.2.1",0.5256367,10075,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,0,NA,0.942307692307692,1,NA,1,0,NA
"10076","letsR","4.0",2023-06-21,"0.2.1",0.5257383,10076,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10077","SoftBart","1.0.1",2023-06-21,"0.2.1",0.5257383,10077,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,0,NA,0.923076923076923,1,NA,1,0,NA
"10078","epm","1.1.1",2023-06-21,"0.2.1",0.5257383,10078,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10079","eixport","0.5.4",2023-06-21,"0.2.1",0.5257383,10079,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,1,0,NA
"10080","ggrisk","1.3",2023-06-21,"0.2.1",0.5257383,10080,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10081","m2b","1.0",2023-06-21,"0.2.1",0.5257383,10081,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10082","classifierplots","1.4.0",2023-06-21,"0.2.1",0.5257383,10082,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10083","TiPS","1.2.3",2023-06-21,"0.2.1",0.5257383,10083,0,1,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,0,NA
"10084","covid19india","0.1.4",2023-06-21,"0.2.1",0.5257383,10084,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10085","BayesDLMfMRI","0.0.2",2023-06-21,"0.2.1",0.5257383,10085,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10086","quickmapr","0.3.0",2023-06-21,"0.2.1",0.5257383,10086,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,1,NA,0.923076923076923,1,NA,0,1,NA
"10087","mshap","0.1.0",2023-06-21,"0.2.1",0.5257383,10087,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,0,NA,0.923076923076923,1,NA,1,0,NA
"10088","geodimension","1.0.0",2023-06-21,"0.2.1",0.5257383,10088,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,0,NA,0.923076923076923,1,NA,1,0,NA
"10089","norm2","2.0.4",2023-06-21,"0.2.1",0.525778,10089,1,0,NA,0,NA,NA,NA,0.43732917979627,NA,0.817574476193644,0,NA,0.961538461538462,1,NA,1,0,NA
"10090","rle","0.9.2",2023-06-21,"0.2.1",0.5257942,10090,0,0,NA,1,NA,NA,NA,0.398689815024215,NA,0.817574476193644,0,NA,1,1,NA,1,0,NA
"10091","denstrip","1.5.4",2023-06-21,"0.2.1",0.5257942,10091,1,0,NA,0,NA,NA,NA,0.398689815024215,NA,0.817574476193644,0,NA,1,1,NA,1,0,NA
"10092","rebus.datetimes","0.0-2",2023-06-21,"0.2.1",0.5257942,10092,1,0,NA,0,NA,NA,NA,0.398689815024215,NA,0.817574476193644,0,NA,1,1,NA,1,0,NA
"10093","survC1","1.0-3",2023-06-21,"0.2.1",0.5257942,10093,1,0,NA,0,NA,NA,NA,0.398689815024215,NA,0.817574476193644,0,NA,1,1,NA,1,0,NA
"10094","nlmeU","0.70-9",2023-06-21,"0.2.1",0.5257942,10094,0,0,NA,0,NA,NA,NA,0.398689815024215,NA,0.817574476193644,1,NA,1,1,NA,1,0,NA
"10095","nsprcomp","0.5.1-2",2023-06-21,"0.2.1",0.5257942,10095,0,0,NA,1,NA,NA,NA,0.398689815024215,NA,0.817574476193644,1,NA,1,1,NA,0,0,NA
"10096","AWR","1.11.189-1",2023-06-21,"0.2.1",0.5257942,10096,0,0,NA,0,NA,NA,NA,0.398689815024215,NA,0.817574476193644,1,NA,1,1,NA,0,1,NA
"10097","MCPModPack","0.5",2023-06-21,"0.2.1",0.5260738,10097,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0293122307513564,1,NA,0.9375,1,NA,0,1,NA
"10098","tmod","0.50.13",2023-06-21,"0.2.1",0.5261832,10098,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.00407013771589604,1,NA,0.961538461538462,1,NA,0,1,NA
"10099","Peptides","2.4.5",2023-06-21,"0.2.1",0.5261975,10099,0,0,NA,0,NA,NA,NA,0.5,NA,0.731058578630005,1,NA,0.980769230769231,1,NA,0,1,NA
"10100","rmsfact","0.0.3",2023-06-21,"0.2.1",0.5262005,10100,1,0,NA,0,NA,NA,NA,0.350228721939924,NA,0.880797077977882,0,NA,0.980769230769231,1,NA,1,0,NA
"10101","metaRNASeq","1.0.7",2023-06-21,"0.2.1",0.5262005,10101,0,1,NA,0,NA,NA,NA,0.350228721939924,NA,0.880797077977882,0,NA,0.980769230769231,1,NA,1,0,NA
"10102","microsimulation","1.4.2",2023-06-21,"0.2.1",0.5262061,10102,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.119202922022118,1,NA,0.846153846153846,1,NA,0,1,NA
"10103","sasfunclust","1.0.0",2023-06-21,"0.2.1",0.5262061,10103,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.119202922022118,1,NA,0.846153846153846,1,NA,0,1,NA
"10104","sos","2.1-7",2023-06-21,"0.2.1",0.5262566,10104,0,1,NA,0,NA,NA,NA,0.470525714569983,NA,0.817574476193644,0,NA,0.923076923076923,1,NA,1,0,NA
"10105","paropt","0.3.2",2023-06-21,"0.2.1",0.526321,10105,0,1,NA,1,NA,NA,NA,0.246376140522644,NA,0.0474258731775666,0,NA,0.916666666666667,1,NA,1,0,NA
"10106","LSX","1.3.1",2023-06-21,"0.2.1",0.5263284,10106,1,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.00247262315663466,0,NA,0.961538461538462,1,NA,1,0,NA
"10107","pagoda2","1.0.10",2023-06-21,"0.2.1",0.5263584,10107,0,0,NA,1,NA,NA,NA,0.43732917979627,NA,1.37095720698088e-06,1,NA,0.772727272727273,1,NA,0,1,NA
"10108","vivainsights","0.3.1",2023-06-21,"0.2.1",0.5265464,10108,1,0,NA,0,NA,NA,NA,0.246376140522644,NA,7.48462275105277e-05,1,NA,0.961538461538462,1,NA,1,0,NA
"10109","act","1.3.1",2023-06-21,"0.2.1",0.5265532,10109,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.961538461538462,1,NA,0,1,NA
"10110","mplot","1.0.6",2023-06-21,"0.2.1",0.5265532,10110,0,0,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.961538461538462,1,NA,1,1,NA
"10111","betategarch","3.3",2023-06-21,"0.2.1",0.5265532,10111,1,0,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.961538461538462,1,NA,1,0,NA
"10112","testcorr","0.2.0",2023-06-21,"0.2.1",0.5265532,10112,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.961538461538462,1,NA,1,0,NA
"10113","NCC","1.0",2023-06-21,"0.2.1",0.5265532,10113,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.961538461538462,1,NA,0,1,NA
"10114","SMM","1.0.2",2023-06-21,"0.2.1",0.5265532,10114,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.961538461538462,1,NA,1,0,NA
"10115","mgc","2.0.2",2023-06-21,"0.2.1",0.5265795,10115,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.268941421369995,1,NA,0.692307692307692,1,NA,0,1,NA
"10116","raceland","1.2.1",2023-06-21,"0.2.1",0.52665,10116,0,1,NA,1,NA,NA,NA,0.246376140522644,NA,0.0758581800212434,1,NA,0.884615384615385,1,NA,0,0,NA
"10117","Ecfun","0.3-2",2023-06-21,"0.2.1",0.5266851,10117,0,1,NA,0,NA,NA,NA,0.350228721939924,NA,0.0293122307513564,1,NA,0.826923076923077,1,NA,1,0,NA
"10118","outbreaker2","1.1.3",2023-06-21,"0.2.1",0.5267866,10118,1,1,NA,0,NA,NA,NA,0.350228721939924,NA,0.0474258731775666,0,NA,0.807692307692308,1,NA,1,0,NA
"10119","stabiliser","1.0.6",2023-06-21,"0.2.1",0.5267943,10119,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.000552778636923601,0,NA,0.958333333333333,1,NA,1,0,NA
"10120","safetensors","0.1.0",2023-06-21,"0.2.1",0.5268446,10120,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.958333333333333,1,NA,0,1,NA
"10121","km.ci","0.5-6",2023-06-21,"0.2.1",0.5271287,10121,1,0,NA,0,NA,NA,NA,0.470525714569983,NA,0.731058578630005,0,NA,1,1,NA,1,0,NA
